Pregunta,Respuesta
¿Qué país ganó la primera Copa del Mundo en 1930?,Uruguay
¿Quién es el máximo goleador en la historia de los Mundiales?,Miroslav Klose
¿Qué equipo ha ganado más Champions League?,Real Madrid
¿Cuál es el estadio más grande del mundo por capacidad?,"Rungrado Primero de Mayo, Corea del Norte"
¿Qué jugador tiene más Balones de Oro?,Lionel Messi
¿Qué país ha ganado más Copas del Mundo?,Brasil
¿En qué año se fundó la FIFA?,1904
¿Qué equipo ganó la Champions League en 2020?,Bayern Múnich
¿Quién marcó el gol conocido como 'La Mano de Dios'?,Diego Maradona
¿Qué club español tiene más títulos de La Liga?,Real Madrid
¿Qué selección ganó la Eurocopa 2021?,Italia
¿Quién es conocido como 'O Rei' en el fútbol?,Pelé
¿Cuál es el club más antiguo del mundo?,Sheffield FC
¿En qué equipo jugaba Ronaldinho antes de fichar por el FC Barcelona?,Paris Saint-Germain (PSG)
¿Qué jugador ganó el premio Puskás en 2022?,Marcin Oleksy
¿Qué equipo inglés tiene más títulos de la Premier League?,Manchester United
¿En qué año se jugó la primera Copa del Mundo?,1930
¿Qué selección es conocida como 'La Albiceleste'?,Argentina
¿Qué jugador es apodado 'El Fenómeno'?,Ronaldo Nazário
¿Quién es el entrenador con más Champions League ganadas?,Carlo Ancelotti
